2023-05-03 20:14:17,891 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:18,427 - Worker-0 - INFO - Downloaded http://ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Graduate&department=STATS&program=ALL, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:19,073 - Worker-0 - INFO - Downloaded http://informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:22,634 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/brochure-tiles/what-we-build, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:26,173 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/brochure-tiles/how-we-work, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:26,707 - Worker-0 - INFO - Downloaded https://mse.ics.uci.edu/%20, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:29,261 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/brochure-tiles/how-we-live, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:32,800 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/explore/faculty-profiles/stacy-branham, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:36,340 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/grad/mswe, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:39,883 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/support/champion-research, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:43,425 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/explore/books-we-have-written, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:47,012 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/research/example-research-projects, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:14:50,552 - Worker-0 - INFO - Downloaded https://informatics.uci.edu/undergrad/student-profiles, status <200>, using cache ('styx.ics.uci.edu', 9013).
