department,2252
statistics,2291
donald,2919
bren,4953
school,4764
information,4926
computer,6547
sciences,2067
explore,688
chair’s,413
welcome,1081
contact,3761
tutoring,138
resources,1873
faculty,3382
directory,949
job,368
opportunities,860
research,8998
graduate,3477
degrees,1177
m,8971
s,14264
ph,1967
d,10527
master,1131
data,5479
science,4749
current,732
course,3235
listings,279
student,4131
internships,754
employment,713
employers,135
uci,7525
students,5065
undergraduate,2523
b,4330
minor,505
news,4647
seminars,348
center,1052
statistical,728
consulting,212
applications,1799
open,774
new,3269
summer,406
biostatistics,168
institute,610
april,1182
4,3268
2022,2978
like,896
gain,64
hands-on,50
experience,508
analyzing,89
collected,89
biomedical,70
studies,370
help,947
prevent,55
treat,29
various,491
diseases,36
curious,32
career,328
options,623
degree,505
now,902
accepting,13
irvine,2778
isi-buds,6
one,3406
10,2034
universities,78
nation,42
offering,102
free,343
six-week,2
training,283
includes,379
500,100
travel,120
expenses,15
housing,842
meal,2
plan,1279
2,6879
stipend,26
600,25
incidental,3
sponsored,87
jointly,24
national,476
heart,47
lung,5
blood,15
nhlbi,3
allergy,8
infectious,50
niaid,6
program,1949
part,891
effort,133
address,651
growing,105
imbalance,1
demand,60
supply,48
biostatisticians,2
scientists,169
cutting-edge,37
offered,100
ics,6487
will,4218
highlight,43
fundamentals,41
computing,3012
learn,553
among,417
things,352
design,1916
analyze,109
clinical,124
trials,34
model,677
disease,141
dynamics,80
big,413
genomics,26
transcriptomics,2
imaging,99
conclude,31
team,893
project,1973
present,329
work,2419
mini-symposium,1
keynote,95
lectures,93
poster,163
session,273
vladimir,42
minin,75
daniel,156
gillen,204
babak,65
shahbaba,168
mine,62
dogucu,30
goal,396
excite,4
mathematically,17
inclined,6
careers,61
says,1232
professor,2237
co-directing,1
colleagues,120
dan,81
offer,139
combination,117
classes,444
teaching,484
well,867
mentorship,38
preparedness,10
end,611
short,235
mentored,8
statistician,27
scientist,123
stresses,16
perfect,159
place,423
practice,208
interdisciplinary,99
given,1424
unique,177
nature,101
houses,6
informatics,2739
departments,585
addition,286
also,3004
home,1983
first,1500
programs,1118
associate,272
director,456
initiative,126
directs,8
machine,873
learning,1576
ai,497
technologies,471
smart,313
core,85
newly,46
established,98
precision,48
health,670
hubs,7
data-driven,53
members,481
complex,304
biological,131
systems,2378
engineering,2249
public,846
participating,54
educational,122
activities,262
commitment,42
diversity,954
inclusion,169
leverage,54
existing,193
camp,13
infrastructure,137
improve,308
profession,46
want,630
attract,11
diverse,112
population,80
including,784
historically,10
excluded,19
groups,869
host,130
small,585
boot,12
days,315
starts,79
ensure,103
prepared,145
come,279
interested,700
joining,84
cohort,68
approximately,92
20,1003
participate,117
running,272
july,1296
11,1508
aug,118
18,829
submit,125
application,1154
may,2650
1,8168
results,1140
announced,71
15,908
funding,806
secured,18
least,427
five,277
years,978
potential,284
continued,85
renewal,5
community,1514
looks,113
forward,141
welcoming,19
year,2991
many,1345
summers,7
shani,344
murray,350
top,408
dr,277
joni,9
ricks-oddie,63
applies,60
lens,28
run,367
long,468
beach,122
city,152
council,598
latest,355
uci’s,519
launch,234
part-time,142
fall,444
2023,163
october,1429
spotlight,430
hengrui,125
cai,130
strives,124
real-world,370
impact,767
september,2013
22,721
socal,150
strong,315
start,740
21,962
undergraduates,227
