research,27403
computer,17362
uci,14508
software,14204
information,13667
student,13574
students,13014
will,11763
science,11520
data,11180
graduate,10888
may,10417
engineering,10363
news,10357
september,10208
undergraduate,9861
design,9384
can,9316
october,8816
informatics,8749
ics,8682
department,8529
course,8206
events,7989
policies,7942
contact,7900
june,7682
july,7522
people,7406
projects,7396
courses,7198
faculty,7190
school,7171
november,7127
march,7060
new,6930
april,6903
december,6862
support,6825
august,6738
january,6697
february,6637
bren,6492
computing,6249
systems,6244
books,6182
current,6146
university,6112
time,5921
learning,5833
