department,1240
statistics,1073
donald,2109
bren,3814
school,3913
information,3605
computer,4615
sciences,1675
explore,142
chair,159
welcome,484
contact,2826
tutoring,7
resources,1037
faculty,1770
directory,715
job,129
opportunities,164
research,4059
graduate,1448
degrees,146
m,1502
ph,461
d,1338
master,170
data,7438
science,2693
current,329
course,1514
listings,7
student,1877
internships,439
employment,443
employers,6
uci,6450
students,3008
undergraduate,892
b,1157
minor,63
news,2491
seminars,10
center,683
statistical,440
consulting,31
launches,2
new,1652
professional,135
program,1166
20,1027
years,340
continued,33
grow,37
leader,34
creating,147
methodology,63
use,1451
applications,413
emphasis,35
theory,279
interdisciplinary,49
collaborations,40
grown,17
house,59
providing,89
expertise,59
collaborative,80
relationships,119
researchers,366
across,196
campus,747
community,714
one,1609
first,864
world,614
offer,79
degree,302
website,183
learn,397
accomplishments,25
become,127
part,541
listing,36
academic,2545
positions,82
open,265
visit,935
recruitment,43
latest,83
launch,35
time,1431
fall,358
2023,259
october,192
10,3183
2022,1495
spotlight,154
professor,795
hengrui,10
cai,20
strives,9
real,606
impact,284
september,171
22,1110
socal,23
strong,94
start,297
21,591
undergraduates,48
conduct,35
biostatistics,45
summer,308
institute,362
13,1185
professors,94
nan,22
gillen,40
receive,148
1,40020
8m,4
grant,204
study,800
methods,754
alzheimer,21
august,85
29,503
archive,72
uc,385
regents,12
feedback,57
privacy,491
policy,1799
site,391
look,150
much,321
better,375
browser,171
supports,74
web,1448
standards,104
accessible,97
internet,291
device,76
dean's,431
facts,428
figures,428
hall,979
equity,421
diversity,514
us,1005
departments,437
informatics,1026
areas,610
centers,467
highlights,739
prospective,448
apply,874
programs,708
year,1396
plan,930
forms,498
policies,3726
funding,512
housing,483
computing,1657
support,1988
handbook,50
advising,487
updates,886
petitions,434
ics,6816
majors,539
minors,444
integrity,424
standing,465
add,494
drop,428
change,752
options,400
coursework,464
outside,526
grade,564
laptop,443
withdrawal,440
readmission,456
cs,765
199,901
in4matx,434
courses,720
graduation,467
life,711
upcoming,441
events,2237
scholarships,415
fellowships,429
jobs,496
people,1157
staff,964
newsroom,394
press,189
releases,83
annual,445
reports,352
blogs,57
get,761
involved,468
make,866
gift,889
alumni,844
leadership,465
council,464
corporate,486
partners,465
sponsor,415
projects,913
product,539
development,1160
competition,591
home,1353
2016,400
17,626
note,336
tentative,18
schedule,387
shown,176
neither,16
guaranteed,24
considered,97
"final""",1
chairs,27
may,1010
provide,288
updated,138
regarding,55
offerings,24
assignments,76
throughout,87
sure,150
check,310
list,563
regularly,18
revised,33
filters,43
23,716
2021,2033
2020,517
2019,208
2018,418
19,673
2017,591
18,695
2015,260
16,1003
2014,329
15,1270
2013,476
14,869
2012,249
2011,219
12,1573
2010,261
11,1839
2009,308
2008,201
09,743
level,311
lower,86
division,143
upper,59
cse,90
ece,5
educ,8
eecs,19
gdm,3
inf,47
math,104
netsys,5
se,40
stats,108
core,93
classes,458
biomedical,71
business,222
management,294
game,395
engineering,1042
algorithms,519
architecture,425
embedded,116
systems,1258
bioinformatics,393
intelligent,321
networked,33
software,1290
visual,110
design,779
interactive,193
media,1544
title,691
description,408
winter,248
spring,177
200,128
200a,5
basics,10
probability,133
random,169
variables,221
basic,95
transformations,22
univariate,14
distributions,60
discrete,106
continuous,318
multivariate,364
prerequisites,30
120a,11
c,1337
equivalent,54
consent,32
instructor,63
yaming,11
yu,93
200b,3
samples,167
limit,26
laws,10
normal,122
distribution,117
introduction,138
stochastic,65
processes,115
reduction,97
point,273
estimation,115
maximum,81
likelihood,46
babak,37
shahbaba,128
200c,1
interval,53
hypothesis,55
testing,409
decision,451
bayesian,351
inference,144
linear,262
model,611
zhaoxia,17
201,41
analyzing,47
experiments,468
surveys,27
covered,56
include,288
two,924
sample,200
procedures,437
analysis,710
variance,81
simple,181
multiple,345
regression,224
taken,160
credit,276
prerequisite,27
knowledge,344
7,9272
concurrent,55
110,71
sevan,3
gregory,21
gulesserian,3
tsung,2
hua,83
lin,100
202,33
emphasizes,26
application,532
understanding,266
categorical,254
including,450
contingency,4
tables,64
logistic,38
poisson,18
loglinear,2
models,519
111,47
hernando,9
ombao,16
203,29
longitudinal,25
cohort,26
studies,271
topics,141
survival,41
censored,5
event,239
mixed,41
non,348
effects,105
generalized,31
estimating,21
equations,15
112,22
tbd,45
205,33
concepts,95
special,117
specification,37
prior,203
binary,169
analyses,39
performed,103
using,1472
free,146
